,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP1_chr26,HAP1_chr27,HAP1_chr28,HAP1_chr29,HAP1_chr30,HAP1_chr31,HAP1_chr32,HAP1_chr33,HAP1_chr34,HAP1_chr35,HAP1_chr36,HAP1_chr37,HAP1_chr38,HAP1_chr39,HAP1_chr40,HAP1_chr41,HAP1_chr42,HAP1_chr43,HAP1_chr44,HAP1_chr45,HAP1_chr46,HAP1_chr47,HAP1_chr48,HAP1_chr49,HAP1_chr50,HAP1_chr51,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP2_chr26,HAP2_chr27,HAP2_chr28,HAP2_chr29,HAP2_chr30,HAP2_chr31,HAP2_chr32,HAP2_chr33,HAP2_chr34,HAP2_chr35,HAP2_chr36,HAP2_chr37,HAP2_chr38,HAP2_chr39,HAP2_chr40,HAP2_chr41,HAP2_chr42,HAP2_chr43,HAP2_chr44,HAP2_chr45,HAP2_chr46,HAP2_chr47,HAP2_chr48,HAP2_chr49,HAP2_chr50,HAP2_chr51
HAP1_chr49,0.130592,0.128561,0.122727,0.095362,0.120309,0.121410,0.121232,0.120220,0.114689,0.120746,0.118943,0.113191,0.117317,0.113698,0.111420,0.111870,0.113475,0.116782,0.116103,0.116158,0.102945,0.115035,0.108814,0.114152,0.111598,0.116447,0.112614,0.112371,0.097853,0.109974,0.110917,0.097598,0.113379,0.112310,0.116265,0.103168,0.106721,0.111882,0.109098,0.112952,0.112772,0.109374,0.106132,0.107859,0.106941,0.106099,0.106994,0.105684,0.000000,0.108782,0.105366,0.130585,0.128556,0.122987,0.095340,0.120022,0.121407,0.121307,0.120259,0.114813,0.120790,0.118936,0.113430,0.117290,0.114812,0.111278,0.111635,0.114393,0.116794,0.116096,0.116237,0.103041,0.115030,0.109051,0.114134,0.111732,0.116444,0.112693,0.112320,0.098033,0.110770,0.111123,0.097782,0.113380,0.112309,0.116231,0.103221,0.106992,0.111942,0.109032,0.112917,0.112798,0.109699,0.106250,0.108884,0.106461,0.105864,0.106479,0.107347,0.000441,0.109110,0.106527
HAP1_chr50,0.132336,0.130379,0.124177,0.126878,0.121913,0.122611,0.122178,0.121412,0.115668,0.121690,0.120053,0.113956,0.119423,0.114893,0.112675,0.112854,0.114281,0.105039,0.118363,0.117786,0.114216,0.116301,0.110521,0.115898,0.112544,0.117942,0.105381,0.100751,0.107195,0.110441,0.111628,0.110359,0.115132,0.114117,0.116435,0.113313,0.100030,0.112608,0.110410,0.114577,0.069127,0.109589,0.108051,0.108806,0.107867,0.107312,0.108876,0.106285,0.108782,0.000000,0.106800,0.132316,0.130377,0.124309,0.126893,0.121683,0.122605,0.122189,0.121461,0.115750,0.121726,0.120061,0.114064,0.119411,0.115649,0.112551,0.112707,0.114923,0.105057,0.118361,0.117822,0.114336,0.116306,0.110678,0.115852,0.112682,0.117968,0.105411,0.100771,0.107487,0.111149,0.111746,0.110609,0.115132,0.114110,0.116408,0.113313,0.100134,0.112671,0.110267,0.114575,0.069142,0.109868,0.108104,0.109593,0.107551,0.106988,0.108535,0.107495,0.109470,0.000149,0.107602
HAP1_chr51,0.131623,0.129782,0.124316,0.126675,0.122075,0.100695,0.121706,0.121288,0.115498,0.121460,0.119807,0.114249,0.117404,0.113965,0.111923,0.111636,0.114107,0.116345,0.115979,0.115268,0.114816,0.106439,0.108694,0.113863,0.112129,0.117502,0.111939,0.112929,0.103383,0.108790,0.110308,0.110172,0.111989,0.111698,0.115886,0.110838,0.104755,0.104414,0.100120,0.112433,0.111175,0.109852,0.104517,0.106042,0.106075,0.098585,0.105852,0.101982,0.105366,0.106800,0.000000,0.131607,0.129761,0.124497,0.126717,0.121705,0.100690,0.121778,0.121348,0.115632,0.121464,0.119797,0.114449,0.117455,0.115061,0.111756,0.111445,0.115038,0.116364,0.115971,0.115875,0.115290,0.106400,0.108908,0.113821,0.112351,0.117531,0.112031,0.112855,0.103745,0.111626,0.110506,0.110756,0.111990,0.111710,0.115884,0.110888,0.104959,0.104445,0.100052,0.112301,0.111202,0.110156,0.104622,0.107224,0.105691,0.097321,0.105331,0.104389,0.106632,0.107235,0.001222
HAP2_chr01,0.000025,0.097087,0.065510,0.097749,0.109669,0.100041,0.093954,0.094398,0.104163,0.103080,0.101485,0.113614,0.102250,0.106301,0.115402,0.116576,0.118239,0.106988,0.105957,0.107376,0.105753,0.108132,0.117969,0.109089,0.125511,0.113118,0.110863,0.124853,0.125687,0.127564,0.123985,0.123214,0.111828,0.111743,0.116096,0.112005,0.124446,0.113236,0.126577,0.114904,0.114564,0.127665,0.127297,0.129298,0.128852,0.130559,0.129303,0.129490,0.130585,0.132316,0.131607,0.000000,0.097143,0.065522,0.097806,0.109492,0.100067,0.094039,0.094459,0.104225,0.103054,0.101518,0.113774,0.102305,0.106802,0.115504,0.116542,0.119236,0.107060,0.105956,0.107485,0.105994,0.108089,0.118097,0.109293,0.125694,0.113159,0.110998,0.123945,0.126491,0.132237,0.124248,0.123507,0.111837,0.111778,0.116059,0.112094,0.124643,0.113336,0.126671,0.114730,0.114549,0.128080,0.127322,0.130206,0.128599,0.130294,0.128979,0.131533,0.131542,0.132653,0.133391
HAP2_chr02,0.097135,0.000030,0.108748,0.091408,0.065500,0.099541,0.100979,0.100996,0.113268,0.101682,0.092804,0.102600,0.101046,0.116612,0.114378,0.104290,0.117114,0.105534,0.104485,0.105783,0.104330,0.106055,0.116633,0.106907,0.124628,0.111121,0.108503,0.122702,0.123204,0.125768,0.122282,0.121423,0.109990,0.109267,0.113567,0.109426,0.122454,0.110512,0.124598,0.112380,0.112197,0.125624,0.125265,0.127160,0.126724,0.127574,0.127476,0.127265,0.128556,0.130377,0.129761,0.097143,0.000000,0.108857,0.091460,0.065474,0.099568,0.101064,0.101053,0.113377,0.101610,0.092836,0.102695,0.101109,0.117272,0.114478,0.104368,0.118072,0.105621,0.104486,0.105870,0.104525,0.106037,0.116748,0.107070,0.124773,0.111142,0.108644,0.121901,0.123763,0.130031,0.122575,0.121717,0.109996,0.109297,0.113529,0.109506,0.122631,0.110595,0.124653,0.112222,0.112199,0.126051,0.125337,0.127978,0.126494,0.127290,0.127174,0.129093,0.129445,0.130645,0.131475
HAP2_chr03,0.065527,0.108848,0.000114,0.109207,0.103789,0.110860,0.101951,0.102557,0.098109,0.113413,0.111783,0.107080,0.113467,0.100228,0.108369,0.109435,0.111553,0.116271,0.115787,0.117068,0.115340,0.117449,0.110946,0.118187,0.118745,0.121328,0.118095,0.117779,0.118294,0.120094,0.116444,0.116157,0.121012,0.120279,0.124087,0.120826,0.116660,0.122411,0.119178,0.123518,0.123687,0.119804,0.119288,0.121451,0.121640,0.121804,0.121844,0.121502,0.122987,0.124309,0.124497,0.065522,0.108857,0.000000,0.109248,0.103643,0.110875,0.102003,0.102606,0.098211,0.113391,0.111810,0.107238,0.113512,0.100724,0.108446,0.109390,0.112546,0.116323,0.115785,0.117152,0.115604,0.117428,0.111085,0.118346,0.118929,0.121351,0.118205,0.116927,0.119159,0.124475,0.116662,0.116477,0.121018,0.120301,0.124053,0.120880,0.117032,0.122499,0.119223,0.123413,0.123687,0.120219,0.119416,0.122426,0.121395,0.121489,0.121333,0.123551,0.124214,0.124626,0.126219
HAP2_chr04,0.097806,0.091449,0.109125,0.000047,0.101572,0.098356,0.099400,0.099766,0.111503,0.095362,0.094271,0.072901,0.100056,0.114818,0.112896,0.106541,0.116165,0.104138,0.103090,0.103928,0.098078,0.104294,0.115062,0.103918,0.122159,0.108564,0.106504,0.121322,0.114565,0.122912,0.120213,0.113323,0.107123,0.106980,0.111496,0.103325,0.119328,0.108466,0.123157,0.109882,0.109058,0.122052,0.122139,0.124097,0.123618,0.124984,0.124021,0.123456,0.095340,0.126893,0.126717,0.097806,0.091460,0.109248,0.000000,0.101413,0.098378,0.099482,0.099824,0.111597,0.094201,0.094307,0.072929,0.100118,0.115546,0.112984,0.106507,0.117135,0.104218,0.103085,0.104040,0.098310,0.104249,0.115189,0.104094,0.122350,0.108588,0.106635,0.120574,0.115033,0.126956,0.120469,0.113579,0.107132,0.107016,0.111458,0.103426,0.119507,0.108571,0.123207,0.109712,0.109050,0.122450,0.122200,0.124913,0.123330,0.124663,0.123705,0.125381,0.095738,0.127153,0.128614
HAP2_chr05,0.109492,0.065472,0.103496,0.101375,0.000109,0.110612,0.111969,0.111783,0.106721,0.112766,0.101293,0.096536,0.112336,0.109829,0.107201,0.098154,0.110183,0.114747,0.114674,0.116347,0.113943,0.116008,0.109531,0.116732,0.116810,0.119596,0.116594,0.116138,0.115882,0.117709,0.114728,0.114413,0.119984,0.118882,0.122068,0.119276,0.114464,0.120536,0.116498,0.121570,0.121815,0.117014,0.117266,0.118832,0.118820,0.119428,0.119203,0.119226,0.120022,0.121683,0.121705,0.109492,0.065474,0.103643,0.101413,0.000000,0.110619,0.112046,0.111862,0.106863,0.112749,0.101316,0.096682,0.112385,0.110565,0.107237,0.098218,0.111138,0.114824,0.114668,0.116445,0.114210,0.115977,0.109707,0.116864,0.116980,0.119619,0.116711,0.115419,0.116619,0.121522,0.114954,0.114737,0.119991,0.118898,0.122033,0.119328,0.114813,0.120619,0.116441,0.121470,0.121800,0.117492,0.117379,0.119957,0.118464,0.119005,0.118681,0.121263,0.121179,0.122060,0.123361
HAP2_chr06,0.100072,0.099542,0.110742,0.098353,0.110827,0.000019,0.100242,0.099799,0.111581,0.100575,0.099073,0.110841,0.098804,0.113849,0.071247,0.112603,0.114542,0.102920,0.101347,0.096884,0.101017,0.098445,0.113030,0.095551,0.119021,0.106496,0.101042,0.118937,0.116952,0.120043,0.117366,0.117235,0.104401,0.103406,0.108443,0.104006,0.116888,0.102407,0.113305,0.106570,0.105956,0.108767,0.119234,0.110378,0.120195,0.116147,0.120474,0.120100,0.121407,0.122605,0.100690,0.100067,0.099568,0.110875,0.098378,0.110619,0.000000,0.100337,0.099841,0.111650,0.100600,0.099105,0.110996,0.098851,0.114536,0.071430,0.112541,0.115408,0.102974,0.101350,0.096934,0.101207,0.098418,0.113136,0.095628,0.119175,0.106520,0.101141,0.118376,0.117457,0.124133,0.117620,0.117506,0.104409,0.103416,0.108413,0.104110,0.117010,0.102517,0.113321,0.106379,0.105943,0.109042,0.119312,0.110970,0.120041,0.115990,0.120206,0.121956,0.122238,0.122847,0.101897
HAP2_chr07,0.094045,0.101034,0.101914,0.099422,0.112212,0.100309,0.000078,0.093828,0.103371,0.101338,0.099160,0.111770,0.099167,0.066912,0.112532,0.113002,0.115221,0.102785,0.102036,0.101914,0.101550,0.102439,0.113228,0.101876,0.119559,0.106594,0.103543,0.119073,0.116585,0.119609,0.117571,0.117085,0.103521,0.103448,0.107958,0.104000,0.116027,0.104552,0.118959,0.106146,0.105902,0.119031,0.118186,0.119728,0.119454,0.120462,0.119954,0.119132,0.121307,0.122189,0.121778,0.094039,0.101064,0.102003,0.099482,0.112046,0.100337,0.000000,0.093850,0.103443,0.101318,0.099171,0.111884,0.099208,0.067008,0.112543,0.112941,0.116118,0.102834,0.101996,0.102007,0.101753,0.102428,0.113346,0.101987,0.119720,0.106613,0.103663,0.118384,0.117132,0.123219,0.117807,0.117408,0.103530,0.103471,0.107930,0.104032,0.116200,0.104628,0.119044,0.106010,0.105905,0.119382,0.118258,0.120498,0.119237,0.120150,0.119708,0.120890,0.122184,0.122441,0.123195
HAP2_chr08,0.094467,0.101025,0.102526,0.099794,0.112080,0.099818,0.093807,0.000061,0.066252,0.100821,0.099264,0.110586,0.099869,0.105024,0.111957,0.112703,0.114693,0.102775,0.101343,0.101637,0.101508,0.103192,0.113390,0.102258,0.118079,0.106372,0.104066,0.118091,0.116166,0.118799,0.116658,0.116663,0.104224,0.104183,0.107296,0.104044,0.116281,0.105159,0.118289,0.106097,0.105659,0.118454,0.117881,0.119236,0.119108,0.119320,0.119619,0.119179,0.120259,0.121461,0.121348,0.094459,0.101053,0.102606,0.099824,0.111862,0.099841,0.093850,0.000000,0.066245,0.100813,0.099288,0.110691,0.099922,0.105550,0.112045,0.112643,0.115590,0.102858,0.101320,0.101713,0.101723,0.103177,0.113508,0.102337,0.118225,0.106396,0.104196,0.117507,0.116745,0.122120,0.116836,0.116936,0.104230,0.104205,0.107241,0.104083,0.116411,0.105208,0.118227,0.105953,0.105644,0.118796,0.117956,0.120000,0.118867,0.119094,0.119345,0.120958,0.121058,0.121798,0.123080
HAP2_chr09,0.104231,0.113354,0.098099,0.111578,0.107080,0.111648,0.103412,0.066255,0.000071,0.113319,0.110912,0.105245,0.112072,0.099605,0.106394,0.106397,0.109166,0.113370,0.112998,0.114095,0.112880,0.114042,0.107724,0.113409,0.113260,0.116779,0.113656,0.112622,0.110725,0.113551,0.111307,0.111465,0.115455,0.114697,0.118102,0.115432,0.109598,0.116062,0.112819,0.116874,0.116918,0.111799,0.111349,0.113607,0.113139,0.113178,0.113521,0.113124,0.114813,0.115750,0.115632,0.104225,0.113377,0.098211,0.111597,0.106863,0.111650,0.103443,0.066245,0.000000,0.113307,0.110923,0.105439,0.112117,0.100245,0.106417,0.106315,0.110155,0.113423,0.112994,0.114190,0.113158,0.114012,0.107877,0.113510,0.113397,0.116799,0.113766,0.112069,0.111366,0.116717,0.111505,0.111832,0.115459,0.114714,0.118067,0.115451,0.109852,0.116116,0.112778,0.116813,0.116930,0.112206,0.111418,0.114654,0.112860,0.112864,0.112969,0.115182,0.115964,0.116163,0.117222
HAP2_chr10,0.103056,0.101573,0.113260,0.094166,0.112936,0.100571,0.101223,0.100789,0.113214,0.000154,0.099973,0.112188,0.100230,0.115317,0.112491,0.113436,0.064530,0.102270,0.102121,0.102866,0.101629,0.102356,0.113537,0.102608,0.104825,0.095389,0.103473,0.117260,0.116516,0.105400,0.117014,0.116623,0.104568,0.103848,0.096917,0.103711,0.116324,0.105253,0.118207,0.106016,0.105900,0.118960,0.118835,0.120070,0.119372,0.120400,0.120024,0.119174,0.120790,0.121726,0.121464,0.103054,0.101610,0.113391,0.094201,0.112749,0.100600,0.101318,0.100813,0.113307,0.000000,0.099986,0.112291,0.100275,0.115990,0.112552,0.113372,0.064607,0.102333,0.102122,0.102946,0.101766,0.102334,0.113663,0.102660,0.104917,0.095407,0.103577,0.116772,0.116961,0.107435,0.117254,0.116984,0.104577,0.103868,0.096872,0.103768,0.116461,0.105338,0.118186,0.105875,0.105915,0.119318,0.118912,0.120912,0.119215,0.120134,0.119733,0.121054,0.121579,0.121962,0.122983
HAP2_chr11,0.101514,0.092813,0.111721,0.094256,0.101453,0.099085,0.099080,0.099215,0.110849,0.100019,0.000029,0.102373,0.098106,0.113188,0.110935,0.070344,0.114201,0.101771,0.100506,0.101423,0.099890,0.100812,0.111901,0.100515,0.118245,0.105255,0.102011,0.117753,0.114843,0.117898,0.116381,0.115854,0.102673,0.101633,0.106430,0.101939,0.114849,0.102562,0.117073,0.104122,0.104235,0.117546,0.116375,0.118770,0.117190,0.118301,0.117899,0.116738,0.118936,0.120061,0.119797,0.101518,0.092836,0.111810,0.094307,0.101316,0.099105,0.099171,0.099288,0.110923,0.099986,0.000000,0.102454,0.098148,0.113890,0.110998,0.070355,0.115117,0.101832,0.100495,0.101517,0.100093,0.100802,0.112024,0.100661,0.118406,0.105276,0.102120,0.117073,0.115332,0.121599,0.116610,0.116149,0.102681,0.101646,0.106398,0.101983,0.114967,0.102630,0.117111,0.103959,0.104239,0.117949,0.116363,0.119532,0.117013,0.117929,0.117633,0.118442,0.119794,0.120323,0.121328
HAP2_chr12,0.113778,0.102698,0.107153,0.072942,0.096785,0.110993,0.111842,0.110643,0.105372,0.112341,0.102441,0.000098,0.111207,0.107145,0.104830,0.097928,0.108475,0.112586,0.112416,0.112603,0.111599,0.112859,0.106821,0.112591,0.111746,0.115470,0.111950,0.111034,0.109226,0.111907,0.109781,0.109642,0.114603,0.113461,0.117233,0.114078,0.108756,0.114945,0.111163,0.115454,0.115781,0.111125,0.110401,0.112005,0.111554,0.112168,0.112291,0.112015,0.113430,0.114064,0.114449,0.113774,0.102695,0.107238,0.072929,0.096682,0.110996,0.111884,0.110691,0.105439,0.112291,0.102454,0.000000,0.111253,0.107826,0.104856,0.097852,0.109251,0.112626,0.112412,0.112679,0.111796,0.112850,0.106950,0.112664,0.111889,0.115496,0.112035,0.110592,0.109798,0.115236,0.109973,0.109923,0.114607,0.113469,0.117201,0.114115,0.108985,0.115006,0.111140,0.115402,0.115786,0.111546,0.110391,0.112899,0.111300,0.111826,0.111842,0.113601,0.114474,0.114391,0.115762
HAP2_chr13,0.102311,0.101086,0.113392,0.100094,0.112596,0.098827,0.099138,0.099888,0.112033,0.100280,0.098126,0.111138,0.000046,0.113765,0.110871,0.112309,0.114183,0.100840,0.098531,0.100741,0.098114,0.099041,0.071406,0.099098,0.118345,0.104620,0.100796,0.116415,0.112752,0.117938,0.114681,0.114751,0.094039,0.093096,0.105297,0.100311,0.113809,0.100053,0.116210,0.102875,0.101732,0.116766,0.105951,0.116857,0.115972,0.116470,0.106484,0.115671,0.117290,0.119411,0.117455,0.102305,0.101109,0.113512,0.100118,0.112385,0.098851,0.099208,0.099922,0.112117,0.100275,0.098148,0.111253,0.000000,0.114380,0.110919,0.112245,0.115026,0.100882,0.098535,0.100800,0.098284,0.099032,0.071414,0.099173,0.118463,0.104633,0.100896,0.115892,0.113391,0.121273,0.114912,0.115082,0.094046,0.093112,0.105281,0.100352,0.113938,0.100102,0.116155,0.102686,0.101745,0.117109,0.105974,0.117555,0.115812,0.116267,0.106300,0.117384,0.118114,0.119674,0.118910
HAP2_chr14,0.106814,0.117268,0.100725,0.115527,0.110655,0.114533,0.067032,0.105531,0.100180,0.115916,0.113880,0.107763,0.114338,0.000239,0.108724,0.108167,0.111126,0.115343,0.115520,0.115313,0.114588,0.115075,0.108946,0.114897,0.113732,0.117603,0.114505,0.113650,0.111719,0.113666,0.112537,0.112408,0.115974,0.115850,0.118701,0.116185,0.110768,0.116414,0.113251,0.117352,0.117166,0.112658,0.112343,0.113203,0.113581,0.113293,0.113819,0.113564,0.114812,0.115649,0.115061,0.106802,0.117272,0.100724,0.115546,0.110565,0.114536,0.067008,0.105550,0.100245,0.115990,0.113890,0.107826,0.114380,0.000000,0.108808,0.108063,0.111678,0.115357,0.115519,0.115387,0.114737,0.115070,0.109050,0.114974,0.113870,0.117625,0.114590,0.113153,0.112079,0.116354,0.112669,0.112654,0.115978,0.115859,0.118673,0.116288,0.110942,0.116533,0.113185,0.117262,0.117183,0.112881,0.112436,0.113963,0.113421,0.113131,0.113539,0.114814,0.115828,0.115886,0.116271
HAP2_chr15,0.115507,0.114487,0.108322,0.112921,0.107447,0.071439,0.112489,0.111992,0.106299,0.112545,0.110997,0.104642,0.110873,0.108081,0.000183,0.106100,0.108124,0.112420,0.111659,0.103966,0.110663,0.111975,0.105581,0.102160,0.111395,0.115208,0.111893,0.110872,0.107436,0.110509,0.109165,0.108535,0.113967,0.112300,0.116714,0.112954,0.107291,0.113733,0.110356,0.114870,0.115108,0.099796,0.108853,0.100551,0.110425,0.110182,0.110409,0.109173,0.111278,0.112551,0.111756,0.115504,0.114478,0.108446,0.112984,0.107237,0.071430,0.112543,0.112045,0.106417,0.112552,0.110998,0.104856,0.110919,0.108808,0.000000,0.105998,0.109008,0.112483,0.111657,0.104036,0.110941,0.111964,0.105758,0.102208,0.111547,0.115227,0.111985,0.110436,0.108147,0.114172,0.109350,0.108869,0.113973,0.112308,0.116681,0.112969,0.107528,0.113793,0.110281,0.114797,0.115121,0.100104,0.108915,0.101282,0.110131,0.109871,0.109921,0.111083,0.112458,0.112886,0.113183
HAP2_chr16,0.116552,0.104378,0.109279,0.106473,0.098328,0.112537,0.112897,0.112593,0.106175,0.113394,0.070338,0.097764,0.112243,0.107317,0.106038,0.000213,0.108702,0.112748,0.112494,0.113062,0.112047,0.112917,0.106349,0.112890,0.111753,0.115749,0.112409,0.110623,0.108630,0.111454,0.109861,0.109727,0.113586,0.112916,0.116311,0.113417,0.107429,0.113924,0.110480,0.115215,0.115118,0.110354,0.109442,0.110293,0.110593,0.110613,0.110695,0.109909,0.111635,0.112707,0.111445,0.116542,0.104368,0.109390,0.106507,0.098218,0.112541,0.112941,0.112643,0.106315,0.113372,0.070355,0.097852,0.112245,0.108063,0.105998,0.000000,0.109520,0.112782,0.112491,0.113114,0.112250,0.112908,0.106501,0.112963,0.111845,0.115768,0.112505,0.110222,0.109134,0.114287,0.110010,0.110015,0.113588,0.112933,0.116288,0.113458,0.107718,0.114007,0.110403,0.115155,0.115108,0.110685,0.109534,0.111320,0.110257,0.110228,0.110215,0.111764,0.112719,0.113018,0.112771
HAP2_chr17,0.119241,0.118042,0.112526,0.117120,0.111232,0.115401,0.116103,0.115562,0.110071,0.064563,0.115111,0.109155,0.114984,0.111253,0.108988,0.109541,0.000412,0.114932,0.115606,0.115393,0.113992,0.114510,0.109374,0.115784,0.099077,0.102489,0.114603,0.112353,0.111855,0.099234,0.111537,0.110655,0.117265,0.116208,0.103806,0.116672,0.110682,0.116814,0.112188,0.117613,0.117677,0.112684,0.113034,0.113685,0.113728,0.113387,0.113728,0.113589,0.114393,0.114923,0.115038,0.119236,0.118072,0.112546,0.117135,0.111138,0.115408,0.116118,0.115590,0.110155,0.064607,0.115117,0.109251,0.115026,0.111678,0.109008,0.109520,0.000000,0.114954,0.115604,0.115413,0.114133,0.114510,0.109488,0.115818,0.099124,0.102505,0.114685,0.111987,0.112283,0.100686,0.111657,0.110908,0.117268,0.116209,0.103791,0.116714,0.110887,0.116865,0.112120,0.117568,0.117687,0.113066,0.113123,0.114448,0.113595,0.113163,0.113428,0.114878,0.115237,0.115166,0.116205
HAP2_chr18,0.107062,0.105629,0.116215,0.104201,0.115047,0.102964,0.102757,0.102824,0.113332,0.102279,0.101812,0.112462,0.100844,0.114660,0.112512,0.112888,0.114202,0.000046,0.101904,0.102669,0.100657,0.101625,0.111981,0.101195,0.116868,0.105492,0.093667,0.063999,0.108013,0.116637,0.114773,0.114500,0.103070,0.102362,0.105891,0.101888,0.101821,0.102504,0.115678,0.103899,0.094160,0.116607,0.113436,0.116231,0.115751,0.116320,0.115841,0.115052,0.116794,0.105057,0.116364,0.107060,0.105621,0.116323,0.104218,0.114824,0.102974,0.102834,0.102858,0.113423,0.102333,0.101832,0.112626,0.100882,0.115357,0.112483,0.112782,0.114954,0.000000,0.101910,0.102737,0.100831,0.101620,0.112074,0.101264,0.117002,0.105518,0.093747,0.063809,0.108659,0.119204,0.115018,0.114803,0.103080,0.102366,0.105863,0.101954,0.101900,0.102573,0.115593,0.103781,0.094175,0.116898,0.113498,0.117065,0.115621,0.116080,0.115611,0.116831,0.117666,0.105228,0.117803
HAP2_chr19,0.105968,0.104463,0.115644,0.103050,0.114948,0.101332,0.101944,0.101302,0.112915,0.102153,0.100481,0.112295,0.098495,0.114754,0.111657,0.112595,0.114738,0.101878,0.000022,0.096344,0.100307,0.100724,0.111049,0.100488,0.117615,0.105004,0.102009,0.116759,0.112749,0.116936,0.068041,0.114680,0.101178,0.100692,0.104893,0.100710,0.113900,0.101306,0.115959,0.095115,0.101680,0.116864,0.114721,0.116541,0.104766,0.115846,0.116430,0.105300,0.116096,0.118361,0.115971,0.105956,0.104486,0.115785,0.103085,0.114668,0.101350,0.101996,0.101320,0.112994,0.102122,0.100495,0.112412,0.098535,0.115519,0.111657,0.112491,0.115604,0.101910,0.000000,0.096449,0.100560,0.100717,0.111162,0.100562,0.117767,0.105015,0.102112,0.116305,0.113351,0.120180,0.068086,0.114960,0.101186,0.100712,0.104866,0.100800,0.114004,0.101356,0.115914,0.095032,0.101672,0.117166,0.114825,0.117275,0.104601,0.115538,0.116190,0.106517,0.116917,0.118606,0.117324
HAP2_chr20,0.107488,0.105878,0.117072,0.104012,0.116566,0.096914,0.101918,0.101689,0.114103,0.102935,0.101510,0.112546,0.100758,0.114895,0.103976,0.113224,0.114820,0.102690,0.096482,0.000117,0.101129,0.102204,0.112946,0.095611,0.117214,0.105260,0.102380,0.116625,0.113694,0.116269,0.108490,0.115553,0.101674,0.101006,0.104939,0.101880,0.113905,0.101628,0.116278,0.099226,0.101840,0.108732,0.115442,0.077688,0.110712,0.116115,0.116187,0.086609,0.116237,0.117822,0.115875,0.107485,0.105870,0.117152,0.104040,0.116445,0.096934,0.102007,0.101713,0.114190,0.102946,0.101517,0.112679,0.100800,0.115387,0.104036,0.113114,0.115413,0.102737,0.096449,0.000000,0.101437,0.102196,0.113041,0.095648,0.117383,0.105271,0.102513,0.116238,0.114060,0.119383,0.108622,0.115775,0.101680,0.101018,0.104930,0.101940,0.114040,0.101699,0.116347,0.099097,0.101847,0.108942,0.115495,0.077795,0.110529,0.115687,0.115921,0.087083,0.117018,0.118087,0.116955
HAP2_chr21,0.105996,0.104517,0.115508,0.098310,0.114415,0.101190,0.101724,0.101710,0.113057,0.101766,0.100074,0.111701,0.098245,0.114152,0.110912,0.112345,0.113361,0.100807,0.100557,0.101383,0.000211,0.100118,0.110350,0.100074,0.116097,0.104037,0.101072,0.115336,0.101899,0.115655,0.113942,0.067152,0.101126,0.100676,0.104785,0.092650,0.111941,0.100210,0.114683,0.102156,0.101610,0.114807,0.113591,0.115762,0.114022,0.114800,0.114862,0.114066,0.103041,0.114336,0.115290,0.105994,0.104525,0.115604,0.098310,0.114210,0.101207,0.101753,0.101723,0.113158,0.101766,0.100093,0.111796,0.098284,0.114737,0.110941,0.112250,0.114133,0.100831,0.100560,0.101437,0.000000,0.100109,0.110440,0.100096,0.116190,0.104058,0.101155,0.114898,0.102104,0.118587,0.114138,0.067190,0.101130,0.100685,0.104756,0.092719,0.112026,0.100389,0.114683,0.101978,0.101613,0.115200,0.113620,0.116519,0.113902,0.114574,0.114669,0.115714,0.103475,0.114629,0.116678
HAP2_chr22,0.108098,0.106012,0.117303,0.104203,0.116220,0.098406,0.102370,0.103132,0.113933,0.102289,0.100803,0.112720,0.098993,0.114284,0.112026,0.113033,0.113654,0.101585,0.100714,0.102128,0.099974,0.000031,0.111057,0.100194,0.116937,0.104222,0.099928,0.115676,0.111665,0.116327,0.113987,0.113803,0.100098,0.099651,0.104349,0.100007,0.112097,0.093101,0.068695,0.101577,0.101014,0.115274,0.113678,0.115760,0.113795,0.104769,0.114458,0.113518,0.115030,0.116306,0.106400,0.108089,0.106037,0.117428,0.104249,0.115977,0.098418,0.102428,0.103177,0.114012,0.102334,0.100802,0.112850,0.099032,0.115070,0.111964,0.112908,0.114510,0.101620,0.100717,0.102196,0.100109,0.000000,0.111157,0.100303,0.117048,0.104245,0.100024,0.115316,0.111966,0.119020,0.114208,0.114095,0.100102,0.099658,0.104309,0.100069,0.112169,0.093133,0.068789,0.101465,0.101022,0.115630,0.113719,0.116526,0.113704,0.104710,0.114222,0.115199,0.115760,0.116534,0.107370
