species	k	group_sizes	separation_ratio	null_mean_ratio	z_score	groups
llColAutu1	7	4,5,6,6,7,11,12	1.1267	0.9995	19.67	chr01,chr03,chr08,chr09,chr07,chr14,chr02,chr05,chr04,chr12,chr11,chr16 | chr06,chr15,chr24,chr42 | chr10,chr17,chr25,chr26,chr30,chr35 | chr13,chr23,chr34,chr47,chr33,chr43,chr21,chr32,chr29,chr36,chr49 | chr18,chr28,chr27,chr37,chr41,chr50 | chr19,chr31,chr40,chr45,chr20,chr44,chr48 | chr22,chr39,chr38,chr46,chr51
llColAutu1	6	5,6,6,11,11,12	1.1138	0.9998	18.67	chr01,chr03,chr08,chr09,chr07,chr14,chr02,chr05,chr04,chr12,chr11,chr16 | chr06,chr15,chr24,chr42,chr19,chr31,chr40,chr45,chr20,chr44,chr48 | chr10,chr17,chr25,chr26,chr30,chr35 | chr13,chr23,chr34,chr47,chr33,chr43,chr21,chr32,chr29,chr36,chr49 | chr18,chr28,chr27,chr37,chr41,chr50 | chr22,chr39,chr38,chr46,chr51
llColAutu1	5	6,6,11,12,16	1.0971	0.9996	16.99	chr01,chr03,chr08,chr09,chr07,chr14,chr02,chr05,chr04,chr12,chr11,chr16 | chr06,chr15,chr24,chr42,chr19,chr31,chr40,chr45,chr20,chr44,chr48 | chr10,chr17,chr25,chr26,chr30,chr35 | chr13,chr23,chr34,chr47,chr33,chr43,chr21,chr32,chr29,chr36,chr49,chr22,chr39,chr38,chr46,chr51 | chr18,chr28,chr27,chr37,chr41,chr50
llColAutu1	4	6,11,12,22	1.0804	0.9998	14.60	chr01,chr03,chr08,chr09,chr07,chr14,chr02,chr05,chr04,chr12,chr11,chr16 | chr06,chr15,chr24,chr42,chr19,chr31,chr40,chr45,chr20,chr44,chr48 | chr10,chr17,chr25,chr26,chr30,chr35 | chr13,chr23,chr34,chr47,chr33,chr43,chr21,chr32,chr29,chr36,chr49,chr22,chr39,chr38,chr46,chr51,chr18,chr28,chr27,chr37,chr41,chr50
llColAutu1	3	6,12,33	1.0665	1.0001	10.82	chr01,chr03,chr08,chr09,chr07,chr14,chr02,chr05,chr04,chr12,chr11,chr16 | chr06,chr15,chr24,chr42,chr19,chr31,chr40,chr45,chr20,chr44,chr48,chr13,chr23,chr34,chr47,chr33,chr43,chr21,chr32,chr29,chr36,chr49,chr22,chr39,chr38,chr46,chr51,chr18,chr28,chr27,chr37,chr41,chr50 | chr10,chr17,chr25,chr26,chr30,chr35
llColAutu1	2	12,39	1.0559	0.9998	8.23	chr01,chr03,chr08,chr09,chr07,chr14,chr02,chr05,chr04,chr12,chr11,chr16 | chr06,chr15,chr24,chr42,chr19,chr31,chr40,chr45,chr20,chr44,chr48,chr13,chr23,chr34,chr47,chr33,chr43,chr21,chr32,chr29,chr36,chr49,chr22,chr39,chr38,chr46,chr51,chr18,chr28,chr27,chr37,chr41,chr50,chr10,chr17,chr25,chr26,chr30,chr35
lpElePalu1	9	2,2,2,2,2,2,2,2,3	2.5059	1.0026	23.21	chr01,chr18 | chr02,chr03 | chr04,chr05 | chr06,chr09,chr10 | chr07,chr08 | chr11,chr12 | chr13,chr17 | chr14,chr15 | chr16,chr19
lpElePalu1	8	2,2,2,2,2,2,3,4	1.9662	1.0030	17.11	chr01,chr18,chr02,chr03 | chr04,chr05 | chr06,chr09,chr10 | chr07,chr08 | chr11,chr12 | chr13,chr17 | chr14,chr15 | chr16,chr19
lpElePalu1	7	2,2,2,2,2,4,5	1.6547	1.0006	14.24	chr01,chr18,chr02,chr03 | chr04,chr05 | chr06,chr09,chr10,chr11,chr12 | chr07,chr08 | chr13,chr17 | chr14,chr15 | chr16,chr19
lpElePalu1	6	2,2,2,4,4,5	1.5522	0.9993	12.62	chr01,chr18,chr02,chr03 | chr04,chr05 | chr06,chr09,chr10,chr11,chr12 | chr07,chr08,chr14,chr15 | chr13,chr17 | chr16,chr19
lpElePalu1	5	2,4,4,4,5	1.4794	0.9996	12.48	chr01,chr18,chr02,chr03 | chr04,chr05,chr13,chr17 | chr06,chr09,chr10,chr11,chr12 | chr07,chr08,chr14,chr15 | chr16,chr19
lpElePalu1	4	2,4,5,8	1.2962	0.9996	9.24	chr01,chr18,chr02,chr03,chr07,chr08,chr14,chr15 | chr04,chr05,chr13,chr17 | chr06,chr09,chr10,chr11,chr12 | chr16,chr19
lpElePalu1	3	4,5,10	1.2246	1.0013	7.71	chr01,chr18,chr02,chr03,chr07,chr08,chr14,chr15,chr16,chr19 | chr04,chr05,chr13,chr17 | chr06,chr09,chr10,chr11,chr12
lpElePalu1	2	9,10	1.1737	0.9979	5.82	chr01,chr18,chr02,chr03,chr07,chr08,chr14,chr15,chr16,chr19 | chr04,chr05,chr13,chr17,chr06,chr09,chr10,chr11,chr12
