,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr09,HAP2_chr10,HAP2_chr12,HAP2_chr13,HAP2_chr17,HAP2_chr18,HAP2_chr21,HAP2_chr24,HAP2_chr25,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19,HAP3_chr20,HAP3_chr21,HAP3_chr22,HAP3_chr23,HAP3_chr24,HAP3_chr25,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr09,HAP4_chr10,HAP4_chr12,HAP4_chr13,HAP4_chr17,HAP4_chr18,HAP4_chr21,HAP4_chr24,HAP4_chr25
HAP3_chr23,0.132587,0.132716,0.128281,0.126666,0.131755,0.133686,0.131962,0.132712,0.132218,0.137192,0.133793,0.135378,0.136011,0.134733,0.131897,0.131656,0.132175,0.130308,0.128570,0.131774,0.135716,0.124492,0.011064,0.135850,0.133491,0.132292,0.130863,0.127473,0.131114,0.133308,0.132581,0.132128,0.138216,0.134793,0.137158,0.134928,0.130007,0.133135,0.136444,0.133322,0.131608,0.131434,0.129454,0.126812,0.131082,0.132691,0.132490,0.132851,0.132156,0.138635,0.133361,0.134911,0.137400,0.135018,0.131704,0.131065,0.135251,0.130680,0.129202,0.133156,0.134368,0.125698,0.000000,0.136571,0.134407,0.131548,0.129895,0.129278,0.131465,0.132278,0.132154,0.132635,0.138359,0.135450,0.135366,0.131917,0.130593,0.133425,0.135450,0.132296
HAP3_chr24,0.135992,0.135486,0.133898,0.132762,0.135248,0.137130,0.136470,0.136036,0.135198,0.140486,0.138775,0.137740,0.138739,0.138380,0.135526,0.135397,0.137697,0.134391,0.132910,0.135489,0.139040,0.131790,0.136031,0.017072,0.136209,0.135611,0.133877,0.135116,0.135061,0.136598,0.135081,0.135150,0.140652,0.137166,0.140643,0.137498,0.133038,0.136587,0.017103,0.137532,0.134653,0.135682,0.135084,0.132758,0.135217,0.137194,0.135375,0.136790,0.135865,0.141245,0.136071,0.136594,0.139464,0.138309,0.135878,0.134358,0.137801,0.132974,0.133027,0.136455,0.137008,0.133350,0.136571,0.000000,0.137683,0.134880,0.135373,0.135024,0.135145,0.137389,0.135224,0.135947,0.139439,0.137058,0.139187,0.135776,0.133354,0.135604,0.017389,0.135991
HAP3_chr25,0.135238,0.135506,0.132509,0.131464,0.132854,0.135424,0.134704,0.135089,0.133504,0.136160,0.135716,0.136350,0.137518,0.136701,0.133187,0.134287,0.135581,0.132401,0.131227,0.134180,0.135966,0.128007,0.133355,0.137065,0.016765,0.133887,0.131637,0.130889,0.133205,0.135631,0.135135,0.134699,0.138108,0.135424,0.139611,0.136855,0.131894,0.134227,0.136544,0.017405,0.133910,0.133365,0.132241,0.131427,0.133437,0.134497,0.134245,0.135128,0.135952,0.138062,0.135237,0.136212,0.138988,0.136954,0.132980,0.133403,0.137309,0.132471,0.131677,0.134170,0.136029,0.128870,0.134407,0.137683,0.000000,0.134274,0.132296,0.131726,0.132901,0.134696,0.134763,0.134095,0.137454,0.136986,0.137947,0.135583,0.132217,0.135585,0.137314,0.017365
HAP4_chr01,0.018503,0.130324,0.124756,0.126800,0.126764,0.130629,0.127608,0.131550,0.128000,0.138229,0.133801,0.133624,0.135489,0.133935,0.130736,0.129156,0.132126,0.126468,0.125726,0.130568,0.135400,0.123410,0.130798,0.135304,0.133601,0.018461,0.128057,0.125721,0.127091,0.130590,0.126740,0.126682,0.138412,0.133128,0.136892,0.133130,0.125904,0.131697,0.134699,0.133508,0.017677,0.129310,0.126478,0.127100,0.126907,0.130330,0.126285,0.132066,0.129812,0.138792,0.133782,0.132967,0.135796,0.134596,0.130525,0.128530,0.134210,0.126334,0.126704,0.130998,0.132946,0.125846,0.131548,0.134880,0.134274,0.000000,0.127856,0.125534,0.126350,0.130319,0.126415,0.129389,0.139431,0.133866,0.134613,0.131349,0.126967,0.132210,0.135208,0.133035
HAP4_chr02,0.129961,0.017819,0.123269,0.127202,0.123990,0.130732,0.128298,0.130667,0.129070,0.136089,0.133809,0.133534,0.134708,0.132389,0.129780,0.128446,0.130907,0.126883,0.126406,0.130551,0.134978,0.124012,0.131567,0.135158,0.126633,0.129403,0.016714,0.124779,0.124745,0.130490,0.127735,0.129345,0.137042,0.133100,0.135614,0.133423,0.125970,0.131812,0.134234,0.131442,0.128413,0.016983,0.126107,0.127644,0.124010,0.129317,0.125196,0.131694,0.130468,0.138170,0.131800,0.133486,0.135464,0.134260,0.129841,0.127738,0.134012,0.126837,0.127253,0.131194,0.132808,0.125527,0.129895,0.135373,0.132296,0.127856,0.000000,0.124816,0.124244,0.130568,0.127558,0.129618,0.138157,0.132910,0.133285,0.130778,0.125930,0.131315,0.133453,0.129771
HAP4_chr03,0.126463,0.128997,0.018599,0.123625,0.124120,0.129096,0.124767,0.128552,0.126905,0.133166,0.131945,0.132065,0.132795,0.130946,0.128530,0.126475,0.130140,0.124435,0.124487,0.128667,0.133225,0.119663,0.128545,0.134905,0.130384,0.126824,0.125260,0.019271,0.123778,0.128584,0.124210,0.127592,0.137610,0.131396,0.135080,0.131493,0.124058,0.130501,0.133908,0.131153,0.124792,0.126023,0.018443,0.123091,0.124511,0.128776,0.123795,0.129326,0.128561,0.135213,0.131134,0.132763,0.134121,0.132943,0.127747,0.125855,0.130775,0.125469,0.126187,0.129022,0.132489,0.123249,0.129278,0.135024,0.131726,0.125534,0.124816,0.000000,0.124032,0.128501,0.123741,0.128014,0.134368,0.131941,0.132722,0.126927,0.125480,0.129592,0.133825,0.129847
HAP4_chr05,0.128068,0.129129,0.122837,0.127014,0.016126,0.129909,0.126157,0.130143,0.127457,0.136399,0.132513,0.134016,0.133955,0.134193,0.130829,0.128134,0.131744,0.125834,0.124958,0.129004,0.134760,0.123177,0.131598,0.135149,0.129934,0.127132,0.124709,0.123444,0.015531,0.128942,0.124578,0.127868,0.137601,0.133466,0.135949,0.133836,0.126367,0.131663,0.135786,0.132191,0.125639,0.125999,0.124637,0.126878,0.015214,0.129450,0.123503,0.131369,0.128638,0.138436,0.131866,0.132805,0.134890,0.134690,0.130602,0.127122,0.132632,0.125467,0.125523,0.130488,0.133279,0.126049,0.131465,0.135145,0.132901,0.126350,0.124244,0.124032,0.000000,0.129170,0.123883,0.128787,0.137620,0.131876,0.134199,0.130731,0.126596,0.131307,0.134494,0.132572
HAP4_chr06,0.131173,0.132077,0.128322,0.129300,0.129555,0.015758,0.130585,0.133168,0.131435,0.139029,0.134763,0.135414,0.137003,0.136143,0.132757,0.130173,0.133101,0.129659,0.128709,0.132018,0.136572,0.126737,0.133382,0.137735,0.134754,0.130890,0.129839,0.129251,0.128919,0.016134,0.130809,0.131761,0.139897,0.134882,0.138330,0.134407,0.128628,0.133625,0.136193,0.134815,0.129373,0.131340,0.129173,0.129192,0.129997,0.015661,0.131126,0.134108,0.132977,0.140152,0.133578,0.134829,0.137180,0.135984,0.132282,0.130558,0.134361,0.129299,0.128918,0.133116,0.134774,0.127968,0.132278,0.137389,0.134696,0.130319,0.130568,0.128501,0.129170,0.000000,0.130615,0.132370,0.139720,0.134762,0.136234,0.131431,0.129422,0.133482,0.136339,0.133476
HAP4_chr07,0.127849,0.129663,0.122784,0.126109,0.124894,0.130576,0.015983,0.131338,0.128267,0.137545,0.133996,0.134293,0.135617,0.134280,0.131807,0.128797,0.133323,0.127007,0.125848,0.130594,0.135125,0.122256,0.131910,0.136271,0.133439,0.126471,0.128347,0.123820,0.124571,0.130693,0.016334,0.127219,0.138809,0.133334,0.137258,0.134845,0.126345,0.132854,0.136040,0.133340,0.125929,0.128390,0.125039,0.125817,0.125142,0.129958,0.015901,0.131977,0.129267,0.138536,0.133040,0.133807,0.136313,0.134523,0.130826,0.128544,0.134654,0.126012,0.126359,0.131258,0.133522,0.125743,0.132154,0.135224,0.134763,0.126415,0.127558,0.123741,0.123883,0.130615,0.000000,0.129490,0.139904,0.134039,0.134583,0.132286,0.127415,0.131717,0.135710,0.132910
HAP4_chr09,0.131187,0.131657,0.127887,0.128597,0.128443,0.133152,0.129444,0.132814,0.016467,0.136979,0.134059,0.134110,0.136725,0.135642,0.131172,0.130836,0.133656,0.128976,0.128424,0.131194,0.135304,0.126163,0.132217,0.135222,0.134638,0.129847,0.130278,0.128632,0.128842,0.133006,0.129365,0.017003,0.139262,0.134354,0.137476,0.133853,0.129247,0.132997,0.135472,0.134126,0.129032,0.130115,0.129162,0.128331,0.129142,0.132281,0.129984,0.133195,0.016082,0.139776,0.132161,0.133562,0.137176,0.135542,0.132179,0.129941,0.135139,0.128827,0.127887,0.132161,0.134700,0.128167,0.132635,0.135947,0.134095,0.129389,0.129618,0.128014,0.128787,0.132370,0.129490,0.000000,0.139696,0.134032,0.135070,0.133537,0.128932,0.132343,0.134631,0.134181
HAP4_chr10,0.140277,0.137575,0.136729,0.136236,0.137498,0.140233,0.140293,0.138805,0.139862,0.016748,0.140293,0.141331,0.139713,0.138179,0.139254,0.138836,0.140158,0.137836,0.136478,0.138510,0.141420,0.133629,0.138217,0.141053,0.137060,0.139289,0.136558,0.135975,0.137347,0.139687,0.139205,0.140401,0.016765,0.139707,0.139672,0.140550,0.138312,0.139858,0.139731,0.137747,0.137766,0.138719,0.138325,0.136098,0.138046,0.138862,0.140302,0.139899,0.140811,0.016719,0.138505,0.140025,0.139505,0.139145,0.137834,0.138268,0.137625,0.137392,0.136581,0.138793,0.139107,0.135149,0.138359,0.139439,0.137454,0.139431,0.138157,0.134368,0.137620,0.139720,0.139904,0.139696,0.000000,0.139677,0.139165,0.136055,0.138069,0.138729,0.140127,0.136665
HAP4_chr12,0.134035,0.133943,0.132115,0.132062,0.131959,0.135084,0.134333,0.134972,0.133559,0.139457,0.137264,0.016839,0.137668,0.138190,0.134507,0.134237,0.136202,0.132369,0.131034,0.133285,0.137447,0.129022,0.135052,0.137369,0.137346,0.134006,0.132920,0.131188,0.132144,0.134252,0.133939,0.133777,0.140132,0.016552,0.138701,0.136904,0.132560,0.136229,0.136771,0.135632,0.132431,0.134311,0.133719,0.131687,0.131916,0.134990,0.134774,0.136446,0.134220,0.141040,0.134551,0.017038,0.138839,0.139546,0.133562,0.132549,0.137484,0.131263,0.132551,0.136338,0.134866,0.130996,0.135450,0.137058,0.136986,0.133866,0.132910,0.131941,0.131876,0.134762,0.134039,0.134032,0.139677,0.000000,0.138459,0.136483,0.132920,0.135078,0.136951,0.135809
HAP4_chr13,0.135403,0.134398,0.131818,0.132778,0.132806,0.137760,0.135389,0.135827,0.134901,0.138116,0.136972,0.138367,0.014716,0.136883,0.135187,0.135388,0.135931,0.134181,0.132322,0.135781,0.140179,0.130181,0.136469,0.139421,0.137154,0.134837,0.133755,0.133906,0.132395,0.137148,0.135252,0.135809,0.139301,0.137219,0.014877,0.137532,0.133505,0.136730,0.138471,0.136787,0.133386,0.134498,0.133976,0.133271,0.134027,0.136037,0.135191,0.135907,0.135499,0.141174,0.137055,0.137751,0.014650,0.137849,0.135092,0.135327,0.137719,0.134022,0.132482,0.135527,0.137576,0.131682,0.135366,0.139187,0.137947,0.134613,0.133285,0.132722,0.134199,0.136234,0.134583,0.135070,0.139165,0.138459,0.000000,0.135436,0.133312,0.136632,0.138085,0.135671
HAP4_chr17,0.132511,0.133062,0.128512,0.128333,0.129978,0.132159,0.131658,0.132925,0.132558,0.136499,0.134330,0.136775,0.136134,0.133620,0.132683,0.132192,0.014736,0.130897,0.129713,0.132779,0.136977,0.127099,0.132593,0.138039,0.134689,0.131777,0.130217,0.127892,0.130278,0.130507,0.131601,0.133521,0.139094,0.135031,0.137009,0.018213,0.129901,0.133341,0.135508,0.135856,0.130109,0.132102,0.129219,0.127681,0.130654,0.132062,0.131335,0.133850,0.133726,0.138030,0.133428,0.135579,0.136679,0.134544,0.132640,0.131427,0.017246,0.129927,0.129816,0.133500,0.135427,0.128426,0.131917,0.135776,0.135583,0.131349,0.130778,0.126927,0.130731,0.131431,0.132286,0.133537,0.136055,0.136483,0.135436,0.000000,0.131375,0.133954,0.135631,0.133324
HAP4_chr18,0.128200,0.128892,0.124726,0.124104,0.127359,0.129662,0.127868,0.128903,0.128056,0.136081,0.132617,0.132326,0.134671,0.132468,0.129284,0.127207,0.132641,0.018358,0.125431,0.130018,0.133812,0.123342,0.130904,0.133924,0.132624,0.127878,0.126713,0.126684,0.126252,0.130598,0.126833,0.128229,0.137799,0.131911,0.136929,0.133210,0.017878,0.130749,0.133129,0.132181,0.126885,0.127565,0.125348,0.122853,0.126451,0.129987,0.127257,0.130812,0.129425,0.137378,0.131573,0.132536,0.134970,0.133362,0.130195,0.126794,0.134294,0.017631,0.126041,0.130109,0.132422,0.124821,0.130593,0.133354,0.132217,0.126967,0.125930,0.125480,0.126596,0.129422,0.127415,0.128932,0.138069,0.132920,0.133312,0.131375,0.000000,0.130536,0.133200,0.130787
HAP4_chr21,0.133972,0.131820,0.129655,0.129608,0.131051,0.133717,0.132335,0.133152,0.131720,0.137226,0.135327,0.135588,0.137120,0.136655,0.132570,0.131649,0.134498,0.130320,0.130249,0.133206,0.018476,0.127612,0.134460,0.136453,0.135554,0.132951,0.131437,0.131464,0.130062,0.133483,0.131737,0.132981,0.138925,0.134021,0.138022,0.135054,0.129804,0.017632,0.135462,0.134364,0.130645,0.132538,0.130903,0.129310,0.131555,0.133220,0.133134,0.133748,0.132821,0.139180,0.133986,0.134638,0.137179,0.136776,0.132496,0.130574,0.135187,0.131048,0.130620,0.133875,0.018487,0.127576,0.133425,0.135604,0.135585,0.132210,0.131315,0.129592,0.131307,0.133482,0.131717,0.132343,0.138729,0.135078,0.136632,0.133954,0.130536,0.000000,0.135164,0.133733
HAP4_chr24,0.135958,0.134533,0.133266,0.131555,0.134220,0.137241,0.134776,0.135585,0.134457,0.140982,0.136646,0.138052,0.138107,0.138107,0.134117,0.134270,0.137321,0.132936,0.132348,0.135620,0.138626,0.130530,0.135340,0.017344,0.136527,0.135652,0.133323,0.133984,0.134534,0.136119,0.135532,0.134965,0.141141,0.137210,0.140277,0.138317,0.132998,0.135585,0.017428,0.136438,0.133587,0.134406,0.133857,0.131503,0.134763,0.136023,0.135397,0.136139,0.135491,0.141266,0.136456,0.136431,0.140345,0.138252,0.135054,0.134233,0.138836,0.133070,0.132718,0.136200,0.136888,0.131238,0.135450,0.017389,0.137314,0.135208,0.133453,0.133825,0.134494,0.136339,0.135710,0.134631,0.140127,0.136951,0.138085,0.135631,0.133200,0.135164,0.000000,0.135139
HAP4_chr25,0.134477,0.131681,0.129349,0.129407,0.132112,0.134336,0.133014,0.131864,0.132902,0.136147,0.135354,0.136306,0.135927,0.135792,0.132193,0.131996,0.134213,0.129522,0.129798,0.131659,0.135790,0.126683,0.133859,0.136282,0.017590,0.133955,0.129035,0.130049,0.132320,0.132694,0.133330,0.133218,0.136524,0.135377,0.137103,0.134448,0.129682,0.133158,0.134875,0.017040,0.131472,0.131909,0.130634,0.129052,0.131624,0.134077,0.133274,0.133690,0.133779,0.136836,0.134107,0.134471,0.138008,0.135665,0.132389,0.131250,0.134442,0.130483,0.129730,0.134024,0.134503,0.127221,0.132296,0.135991,0.017365,0.133035,0.129771,0.129847,0.132572,0.133476,0.132910,0.134181,0.136665,0.135809,0.135671,0.133324,0.130787,0.133733,0.135139,0.000000
