,HAP1_chr01,HAP1_chr02,HAP1_chr03,HAP1_chr04,HAP1_chr05,HAP1_chr06,HAP1_chr07,HAP1_chr08,HAP1_chr09,HAP1_chr10,HAP1_chr11,HAP1_chr12,HAP1_chr13,HAP1_chr14,HAP1_chr15,HAP1_chr16,HAP1_chr17,HAP1_chr18,HAP1_chr19,HAP1_chr20,HAP1_chr21,HAP1_chr22,HAP1_chr23,HAP1_chr24,HAP1_chr25,HAP2_chr01,HAP2_chr02,HAP2_chr03,HAP2_chr04,HAP2_chr05,HAP2_chr06,HAP2_chr07,HAP2_chr08,HAP2_chr09,HAP2_chr10,HAP2_chr11,HAP2_chr12,HAP2_chr13,HAP2_chr14,HAP2_chr15,HAP2_chr16,HAP2_chr17,HAP2_chr18,HAP2_chr19,HAP2_chr20,HAP2_chr21,HAP2_chr22,HAP2_chr23,HAP2_chr24,HAP2_chr25,HAP3_chr01,HAP3_chr02,HAP3_chr03,HAP3_chr04,HAP3_chr05,HAP3_chr06,HAP3_chr07,HAP3_chr08,HAP3_chr09,HAP3_chr10,HAP3_chr11,HAP3_chr12,HAP3_chr13,HAP3_chr14,HAP3_chr15,HAP3_chr16,HAP3_chr17,HAP3_chr18,HAP3_chr19,HAP3_chr20,HAP3_chr21,HAP3_chr23,HAP3_chr24,HAP3_chr25,HAP4_chr01,HAP4_chr02,HAP4_chr03,HAP4_chr04,HAP4_chr05,HAP4_chr06,HAP4_chr07,HAP4_chr08,HAP4_chr09,HAP4_chr10,HAP4_chr11,HAP4_chr12,HAP4_chr13,HAP4_chr14,HAP4_chr15,HAP4_chr16,HAP4_chr17,HAP4_chr18,HAP4_chr19,HAP4_chr20,HAP4_chr21,HAP4_chr23,HAP4_chr24,HAP4_chr25
HAP3_chr01,0.014489,0.120188,0.113765,0.125790,0.117927,0.123047,0.122125,0.126758,0.120629,0.126281,0.119012,0.121131,0.125456,0.126110,0.122079,0.120176,0.125597,0.118742,0.116098,0.122959,0.119814,0.116733,0.127509,0.128138,0.124031,0.013311,0.120351,0.113668,0.126459,0.117667,0.123670,0.119750,0.126045,0.122110,0.127351,0.119449,0.121447,0.122770,0.124085,0.123272,0.119606,0.126166,0.118264,0.115332,0.124409,0.120310,0.116198,0.125090,0.128956,0.122886,0.000000,0.120212,0.112789,0.126217,0.115857,0.123047,0.117670,0.126248,0.121213,0.124882,0.119899,0.121347,0.126560,0.125754,0.121850,0.120129,0.126219,0.117375,0.115401,0.123359,0.120468,0.124654,0.128421,0.122231,0.014489,0.119407,0.113012,0.123999,0.117450,0.122473,0.117652,0.126436,0.121396,0.123133,0.116852,0.120671,0.124656,0.124776,0.120472,0.119400,0.124738,0.116446,0.115035,0.122446,0.120483,0.125341,0.125585,0.123722
HAP3_chr02,0.121902,0.012783,0.117999,0.125753,0.120239,0.124748,0.124204,0.127943,0.123612,0.125963,0.122328,0.121978,0.126806,0.126807,0.124148,0.122412,0.126422,0.121330,0.118859,0.125521,0.122085,0.119160,0.128270,0.128590,0.125122,0.120386,0.012009,0.117221,0.126973,0.120805,0.125636,0.122875,0.127524,0.123984,0.128107,0.121055,0.121921,0.124987,0.125940,0.125115,0.122895,0.126363,0.120516,0.118770,0.126489,0.121881,0.118586,0.125268,0.129050,0.123747,0.120212,0.000000,0.116959,0.127062,0.120794,0.124505,0.121000,0.126844,0.124263,0.124774,0.121155,0.122322,0.127178,0.126329,0.123182,0.122002,0.127783,0.119817,0.118950,0.125528,0.122514,0.125815,0.128994,0.122960,0.120242,0.012586,0.117435,0.124656,0.120795,0.124440,0.121615,0.126785,0.124313,0.124023,0.118559,0.122565,0.125809,0.125828,0.121986,0.121089,0.126280,0.118987,0.119171,0.124478,0.122954,0.126557,0.126897,0.124161
HAP3_chr03,0.115390,0.117527,0.018604,0.121857,0.114611,0.121316,0.118484,0.127204,0.119548,0.114983,0.117767,0.120585,0.121309,0.125376,0.122862,0.118940,0.124874,0.117758,0.114367,0.123753,0.119685,0.110925,0.127297,0.129833,0.121134,0.113131,0.117786,0.018822,0.122939,0.114907,0.122897,0.116019,0.126505,0.120129,0.122811,0.117806,0.118630,0.116136,0.122490,0.122862,0.118584,0.124724,0.115551,0.113462,0.124537,0.119301,0.110112,0.123823,0.129766,0.121971,0.112789,0.116959,0.000000,0.116437,0.113066,0.122622,0.113726,0.125177,0.119846,0.114263,0.118626,0.119561,0.123162,0.124927,0.121305,0.118453,0.125829,0.114359,0.109937,0.123440,0.119782,0.124308,0.128800,0.116331,0.112656,0.116335,0.018973,0.118635,0.109240,0.121608,0.112174,0.126484,0.119114,0.108893,0.114660,0.119590,0.122075,0.124386,0.119877,0.117709,0.122953,0.113303,0.109218,0.122024,0.119928,0.124647,0.127118,0.116627
HAP3_chr04,0.126012,0.126025,0.121001,0.015023,0.126312,0.128120,0.129916,0.130572,0.128201,0.127982,0.124833,0.124476,0.129297,0.130320,0.126382,0.126549,0.130188,0.125706,0.124051,0.129318,0.125476,0.121661,0.130240,0.131110,0.127313,0.126202,0.127089,0.120617,0.013337,0.127381,0.129588,0.129006,0.130367,0.127564,0.129135,0.124153,0.123829,0.127473,0.129541,0.127560,0.126087,0.130197,0.125272,0.123553,0.129334,0.125420,0.120816,0.128991,0.131069,0.126785,0.126217,0.127062,0.116437,0.000000,0.125105,0.128890,0.128430,0.128805,0.127603,0.126197,0.125170,0.125941,0.128336,0.130160,0.127603,0.127349,0.126969,0.124559,0.128342,0.128455,0.124532,0.129045,0.131208,0.126587,0.125920,0.126677,0.122475,0.013651,0.126461,0.129173,0.128014,0.130061,0.128477,0.125510,0.122209,0.125495,0.127414,0.128969,0.126235,0.127176,0.126709,0.124616,0.127919,0.128126,0.126438,0.129196,0.129392,0.126158
HAP3_chr05,0.118677,0.120222,0.112797,0.124356,0.011247,0.123244,0.122440,0.126977,0.121329,0.125295,0.119534,0.120911,0.126508,0.125654,0.123964,0.121469,0.126081,0.119580,0.116207,0.123775,0.121866,0.117638,0.127732,0.129223,0.125122,0.116192,0.120548,0.112597,0.126044,0.011369,0.123632,0.120590,0.126714,0.121585,0.127382,0.118617,0.120286,0.124335,0.125736,0.124255,0.121162,0.126069,0.118962,0.115702,0.124916,0.121669,0.115830,0.125833,0.129274,0.124364,0.115857,0.120794,0.113066,0.125105,0.000000,0.123632,0.117773,0.126556,0.120829,0.123516,0.120075,0.121313,0.126197,0.125742,0.123294,0.120860,0.126303,0.117753,0.115599,0.123652,0.120852,0.125378,0.128538,0.123173,0.114947,0.119171,0.112619,0.122841,0.011345,0.123176,0.117629,0.126350,0.122262,0.122486,0.116109,0.120838,0.124924,0.125192,0.121984,0.120316,0.124973,0.117116,0.115680,0.123147,0.121694,0.125866,0.126189,0.123722
HAP3_chr06,0.124323,0.124759,0.122961,0.128988,0.123689,0.012659,0.127403,0.126514,0.125560,0.128594,0.123785,0.124387,0.129212,0.130221,0.126719,0.125689,0.129445,0.124892,0.121953,0.127628,0.124433,0.121848,0.130195,0.131334,0.127859,0.123777,0.125082,0.122584,0.129056,0.123712,0.011275,0.126763,0.129023,0.125908,0.130004,0.123104,0.124208,0.127826,0.129045,0.127141,0.125323,0.129479,0.124404,0.121557,0.128407,0.124587,0.121341,0.128421,0.130883,0.127112,0.123047,0.124505,0.122622,0.128890,0.123632,0.000000,0.125412,0.128894,0.125741,0.127667,0.123815,0.124633,0.129306,0.129073,0.126610,0.125632,0.129891,0.123215,0.123915,0.127599,0.125146,0.127908,0.130297,0.126624,0.124046,0.124736,0.123009,0.127082,0.123903,0.010712,0.125400,0.129423,0.125794,0.126673,0.121686,0.124548,0.128168,0.127942,0.125009,0.124726,0.128761,0.122539,0.123948,0.126957,0.125624,0.128588,0.128994,0.127615
HAP3_chr07,0.119642,0.121124,0.114203,0.126577,0.118768,0.124070,0.016334,0.128478,0.122004,0.126890,0.121584,0.122037,0.126492,0.127035,0.125467,0.122376,0.126934,0.120484,0.117519,0.125365,0.122457,0.118214,0.128733,0.129119,0.126476,0.117910,0.121824,0.113802,0.127573,0.118462,0.124964,0.014886,0.127755,0.122490,0.128929,0.120639,0.121738,0.124648,0.126056,0.125427,0.122290,0.126913,0.118970,0.116454,0.126346,0.121859,0.117848,0.126491,0.129827,0.125007,0.117670,0.121000,0.113726,0.128430,0.117773,0.125412,0.000000,0.127459,0.121719,0.126233,0.121459,0.121789,0.127295,0.126366,0.123756,0.121830,0.128704,0.118347,0.117187,0.125158,0.122070,0.125418,0.129389,0.124339,0.117681,0.119769,0.113307,0.125172,0.118159,0.124471,0.011678,0.127449,0.123137,0.124211,0.117517,0.121660,0.125688,0.126409,0.122853,0.121470,0.126841,0.117132,0.116950,0.123860,0.122715,0.126695,0.126735,0.124214
HAP3_chr08,0.126461,0.126193,0.125127,0.129177,0.126304,0.128690,0.129629,0.014784,0.127855,0.129209,0.125619,0.125188,0.129247,0.129822,0.127372,0.126558,0.129484,0.125768,0.123289,0.128122,0.126064,0.124212,0.130375,0.130899,0.127751,0.126279,0.126875,0.125110,0.130282,0.126386,0.129334,0.127837,0.012477,0.127720,0.129646,0.125185,0.125645,0.128918,0.129335,0.128323,0.126553,0.129863,0.125363,0.123052,0.127938,0.126545,0.123552,0.128380,0.131568,0.125393,0.126248,0.126844,0.125177,0.128805,0.126556,0.128894,0.127459,0.000000,0.127684,0.128161,0.124960,0.126167,0.129881,0.129956,0.127255,0.126561,0.130966,0.124999,0.127106,0.128842,0.126416,0.128632,0.130905,0.126222,0.125823,0.125881,0.126094,0.128483,0.126551,0.128313,0.127814,0.013194,0.128246,0.127367,0.122701,0.126310,0.129629,0.128648,0.126525,0.126746,0.128973,0.124132,0.126847,0.127674,0.126986,0.129031,0.129590,0.128340
HAP3_chr09,0.121696,0.123441,0.119888,0.126860,0.121749,0.125059,0.124873,0.128282,0.012298,0.126881,0.122675,0.122505,0.126911,0.127320,0.125362,0.123049,0.127452,0.122014,0.119403,0.125755,0.123691,0.120134,0.128865,0.129252,0.126192,0.120993,0.123312,0.119725,0.127446,0.121684,0.124915,0.122809,0.127487,0.011561,0.128731,0.120788,0.121234,0.125743,0.126980,0.126398,0.123460,0.127975,0.121269,0.119474,0.126441,0.123726,0.118545,0.126117,0.129130,0.125101,0.121213,0.124263,0.119846,0.127603,0.120829,0.125741,0.121719,0.127684,0.000000,0.126296,0.122195,0.123199,0.128163,0.127375,0.124602,0.123095,0.128420,0.120893,0.120803,0.125724,0.123485,0.126641,0.129268,0.124376,0.121896,0.122119,0.120170,0.125721,0.121761,0.125145,0.121829,0.127797,0.010407,0.124591,0.118963,0.122289,0.127267,0.127351,0.124089,0.122829,0.127286,0.119946,0.120410,0.125062,0.123786,0.127009,0.126956,0.124767
HAP3_chr10,0.124542,0.124672,0.112424,0.126439,0.123706,0.125377,0.128309,0.129276,0.125230,0.012933,0.123333,0.124621,0.128036,0.128712,0.125241,0.125459,0.128054,0.123652,0.122507,0.126217,0.121873,0.120275,0.128199,0.129989,0.124273,0.124007,0.124862,0.110094,0.126698,0.123711,0.126963,0.127486,0.128325,0.126093,0.012911,0.123009,0.123138,0.124978,0.126961,0.126162,0.125968,0.127946,0.123398,0.122053,0.127067,0.122730,0.119827,0.126830,0.130248,0.124880,0.124882,0.124774,0.114263,0.126197,0.123516,0.127667,0.126233,0.128161,0.126296,0.000000,0.122859,0.123930,0.128682,0.127789,0.125328,0.125702,0.129167,0.122758,0.125498,0.126279,0.121328,0.126981,0.129866,0.122223,0.123114,0.124034,0.112476,0.125005,0.123199,0.127051,0.126631,0.129145,0.127044,0.014147,0.121368,0.124944,0.127287,0.128156,0.124934,0.125839,0.127418,0.121643,0.124471,0.125652,0.124322,0.128190,0.128091,0.123803
HAP3_chr11,0.121136,0.121135,0.118833,0.123964,0.120313,0.123884,0.124003,0.125887,0.121923,0.124136,0.008865,0.120567,0.125998,0.125686,0.121792,0.121867,0.124916,0.120956,0.117795,0.123282,0.121541,0.118287,0.125901,0.125583,0.122878,0.120566,0.121466,0.119218,0.124951,0.120339,0.124576,0.122560,0.125457,0.122208,0.126325,0.011297,0.120378,0.124204,0.124108,0.122309,0.122087,0.125265,0.119962,0.117822,0.124141,0.121114,0.117634,0.124064,0.127453,0.123335,0.119899,0.121155,0.118626,0.125170,0.120075,0.123815,0.121459,0.124960,0.122195,0.122859,0.000000,0.120661,0.126087,0.125153,0.119895,0.121841,0.126219,0.119709,0.121082,0.122341,0.120853,0.123933,0.125410,0.121977,0.119652,0.120991,0.119695,0.122344,0.120475,0.124390,0.121924,0.125549,0.122777,0.123258,0.035378,0.121392,0.125577,0.124075,0.118972,0.121062,0.124710,0.118732,0.120183,0.122802,0.121598,0.124573,0.124165,0.122055
HAP3_chr12,0.121446,0.122350,0.119556,0.125176,0.121510,0.124496,0.125694,0.127260,0.123570,0.126114,0.120798,0.012294,0.127212,0.126929,0.123645,0.122807,0.126951,0.121515,0.118830,0.123971,0.121571,0.119757,0.127970,0.128146,0.124685,0.121377,0.123191,0.118664,0.126030,0.121482,0.124988,0.122594,0.127017,0.123336,0.126916,0.119885,0.012534,0.124907,0.126139,0.124477,0.122778,0.126206,0.120448,0.118173,0.125207,0.121679,0.119011,0.125250,0.128259,0.124128,0.121347,0.122322,0.119561,0.125941,0.121313,0.124633,0.121789,0.126167,0.123199,0.123930,0.120661,0.000000,0.127127,0.126756,0.123844,0.122754,0.126714,0.120155,0.122060,0.124988,0.121379,0.125849,0.128069,0.123315,0.120518,0.121951,0.119861,0.124240,0.121583,0.125306,0.122123,0.127131,0.123864,0.123628,0.117882,0.011416,0.126464,0.126869,0.122606,0.121913,0.125552,0.119524,0.122097,0.124305,0.121979,0.126246,0.126110,0.124125
HAP3_chr13,0.126023,0.127686,0.123579,0.129940,0.127095,0.129190,0.129669,0.131165,0.128371,0.129435,0.124956,0.126902,0.013752,0.130170,0.127961,0.126283,0.129692,0.125477,0.124121,0.128294,0.126106,0.124194,0.130741,0.131729,0.128603,0.126020,0.127725,0.123256,0.132167,0.126882,0.129672,0.127990,0.130260,0.127960,0.130758,0.125685,0.126879,0.014276,0.129533,0.129362,0.127071,0.130397,0.125935,0.123600,0.128969,0.126396,0.124336,0.129395,0.132441,0.128018,0.126560,0.127178,0.123162,0.128336,0.126197,0.129306,0.127295,0.129881,0.128163,0.128682,0.126087,0.127127,0.000000,0.129942,0.128656,0.126757,0.127963,0.125323,0.126963,0.129170,0.125507,0.128751,0.131944,0.127868,0.125859,0.127119,0.124021,0.129233,0.125695,0.129472,0.127646,0.130503,0.127658,0.127427,0.123219,0.126577,0.010614,0.127630,0.127290,0.126948,0.126719,0.125037,0.126210,0.128345,0.127189,0.130183,0.130248,0.128009
HAP3_chr14,0.125916,0.126675,0.124307,0.129701,0.126251,0.128533,0.129260,0.130704,0.128022,0.129684,0.124949,0.126766,0.130461,0.012660,0.127317,0.126580,0.130350,0.126095,0.123992,0.128536,0.125954,0.124038,0.130923,0.131072,0.127930,0.125107,0.125673,0.124231,0.130604,0.126120,0.129452,0.127960,0.130515,0.127859,0.129844,0.124501,0.126766,0.129032,0.013112,0.128386,0.126621,0.130197,0.125574,0.123059,0.129943,0.125779,0.123834,0.128477,0.132286,0.127531,0.125754,0.126329,0.124927,0.130160,0.125742,0.129073,0.126366,0.129956,0.127375,0.127789,0.125153,0.126756,0.129942,0.000000,0.127914,0.127576,0.131223,0.124941,0.126860,0.129171,0.125870,0.129471,0.132180,0.126964,0.125054,0.125652,0.125222,0.128765,0.126350,0.128551,0.128025,0.129878,0.127852,0.127708,0.121758,0.126477,0.128765,0.012633,0.126555,0.126902,0.129626,0.123554,0.126398,0.128273,0.126375,0.129490,0.129022,0.127289
HAP3_chr15,0.123274,0.123443,0.120899,0.125771,0.123566,0.125250,0.121530,0.128056,0.123803,0.125637,0.121348,0.123268,0.127078,0.128263,0.015529,0.123763,0.126131,0.122622,0.119867,0.125542,0.123592,0.119903,0.127476,0.129250,0.125183,0.122503,0.123743,0.122363,0.127355,0.123091,0.125681,0.126124,0.127302,0.124900,0.128084,0.120991,0.122811,0.125723,0.126247,0.013681,0.124120,0.127373,0.122446,0.120325,0.126719,0.123561,0.119461,0.126081,0.130237,0.124341,0.121850,0.123182,0.121305,0.127603,0.123294,0.126610,0.123756,0.127255,0.124602,0.125328,0.119895,0.123844,0.128656,0.127914,0.000000,0.123528,0.128435,0.121606,0.123987,0.125647,0.122875,0.125300,0.128664,0.123819,0.122129,0.122734,0.122423,0.125072,0.123920,0.126241,0.124639,0.127035,0.125131,0.125015,0.119186,0.123615,0.128138,0.127269,0.013108,0.123429,0.127064,0.121327,0.123265,0.125098,0.121929,0.126442,0.126679,0.124670
HAP3_chr16,0.120761,0.121891,0.119186,0.126579,0.121047,0.124537,0.125084,0.128265,0.123141,0.127317,0.121239,0.121922,0.126952,0.127590,0.124630,0.011742,0.125063,0.120987,0.118524,0.123776,0.121940,0.119142,0.127830,0.128923,0.125997,0.120108,0.122688,0.118798,0.127542,0.121635,0.125427,0.123690,0.128229,0.123483,0.128153,0.121175,0.121856,0.125471,0.126422,0.124757,0.010988,0.125356,0.120053,0.117599,0.124783,0.122483,0.118470,0.125770,0.129202,0.124717,0.120129,0.122002,0.118453,0.127349,0.120860,0.125632,0.121830,0.126561,0.123095,0.125702,0.121841,0.122754,0.126757,0.127576,0.123528,0.000000,0.126572,0.119189,0.119761,0.125851,0.122039,0.126144,0.129198,0.124877,0.119684,0.119987,0.118890,0.125258,0.120454,0.124805,0.122584,0.127460,0.124153,0.124857,0.118247,0.122131,0.126861,0.126878,0.123087,0.011485,0.125673,0.118017,0.120068,0.124877,0.123073,0.126791,0.126179,0.125226
HAP3_chr17,0.126224,0.127682,0.125497,0.130227,0.126957,0.129466,0.130574,0.131422,0.128589,0.130257,0.125005,0.126776,0.130823,0.131641,0.128430,0.126004,0.013267,0.126513,0.124312,0.128055,0.126522,0.125100,0.130084,0.132621,0.128776,0.126219,0.127681,0.125257,0.130988,0.127431,0.130373,0.129668,0.130403,0.128436,0.131658,0.125205,0.126619,0.129028,0.131540,0.128535,0.127475,0.012551,0.125410,0.123638,0.128231,0.125954,0.124847,0.129542,0.131592,0.129026,0.126219,0.127783,0.125829,0.126969,0.126303,0.129891,0.128704,0.130966,0.128420,0.129167,0.126219,0.126714,0.127963,0.131223,0.128435,0.126572,0.000000,0.125420,0.127036,0.129488,0.125623,0.129168,0.131825,0.127935,0.126217,0.126936,0.126073,0.128867,0.126533,0.129367,0.128871,0.130839,0.128827,0.128411,0.123957,0.125777,0.127605,0.130534,0.127851,0.125371,0.010762,0.125111,0.126967,0.128324,0.126931,0.129599,0.130095,0.128049
HAP3_chr18,0.118789,0.119524,0.114043,0.123579,0.118262,0.122221,0.122173,0.125452,0.120878,0.124083,0.119607,0.119308,0.125162,0.125047,0.122342,0.120006,0.124533,0.012950,0.117064,0.123283,0.119929,0.116225,0.125949,0.127617,0.123506,0.117772,0.120393,0.114255,0.124386,0.118418,0.122946,0.120416,0.125227,0.120707,0.126504,0.118614,0.119339,0.122750,0.123676,0.123399,0.119919,0.124846,0.012150,0.115713,0.124198,0.119467,0.114925,0.123911,0.127283,0.122264,0.117375,0.119817,0.114359,0.124559,0.117753,0.123215,0.118347,0.124999,0.120893,0.122758,0.119709,0.120155,0.125323,0.124941,0.121606,0.119189,0.125420,0.000000,0.116598,0.123159,0.119791,0.123060,0.127245,0.121435,0.116797,0.118302,0.114339,0.122655,0.117851,0.121774,0.118264,0.125817,0.120666,0.121440,0.116566,0.119500,0.124356,0.124639,0.120631,0.119010,0.124202,0.012395,0.116942,0.122073,0.120476,0.124182,0.124886,0.122932
HAP3_chr19,0.117396,0.119115,0.110761,0.127651,0.116075,0.123551,0.122150,0.128027,0.121193,0.126951,0.119977,0.121625,0.126436,0.127854,0.124509,0.120542,0.126263,0.119962,0.055245,0.125181,0.122938,0.052524,0.129373,0.130337,0.126500,0.115834,0.119320,0.110057,0.127365,0.115378,0.123877,0.119668,0.127450,0.120967,0.129114,0.119935,0.121564,0.124707,0.125582,0.125318,0.120248,0.127400,0.117919,0.053366,0.125712,0.122311,0.051065,0.125716,0.130882,0.125226,0.115401,0.118950,0.109937,0.128342,0.115599,0.123915,0.117187,0.127106,0.120803,0.125498,0.121082,0.122060,0.126963,0.126860,0.123987,0.119761,0.127036,0.116598,0.000000,0.123845,0.122424,0.125937,0.130219,0.124394,0.115998,0.119103,0.109580,0.124631,0.115931,0.122732,0.116116,0.127717,0.120849,0.123402,0.116253,0.120883,0.125765,0.126374,0.122103,0.119576,0.125465,0.116031,0.006061,0.123588,0.122446,0.126821,0.127696,0.124889
HAP3_chr20,0.124513,0.124930,0.122863,0.128826,0.123797,0.126486,0.127392,0.129349,0.124713,0.128528,0.122551,0.124430,0.128644,0.129345,0.125386,0.125693,0.128509,0.124638,0.120663,0.012180,0.124836,0.122215,0.127769,0.129906,0.127194,0.123352,0.125838,0.122905,0.128554,0.123664,0.127202,0.127170,0.128125,0.125185,0.128842,0.122153,0.124427,0.128293,0.129093,0.125711,0.125483,0.128145,0.123619,0.120508,0.011822,0.125986,0.121938,0.126073,0.130321,0.126118,0.123359,0.125528,0.123440,0.128455,0.123652,0.127599,0.125158,0.128842,0.125724,0.126279,0.122341,0.124988,0.129170,0.129171,0.125647,0.125851,0.129488,0.123159,0.123845,0.000000,0.124930,0.125619,0.130266,0.125755,0.123846,0.125626,0.123515,0.127289,0.124079,0.127637,0.125578,0.128699,0.125499,0.126848,0.120395,0.124425,0.128083,0.128919,0.124292,0.124947,0.127681,0.122830,0.122270,0.011581,0.125642,0.126163,0.127818,0.126281
HAP3_chr21,0.120158,0.121917,0.119120,0.124724,0.122433,0.123943,0.125686,0.113487,0.123441,0.126067,0.119689,0.121078,0.126744,0.126760,0.123477,0.121449,0.125591,0.120169,0.119133,0.123164,0.014132,0.118606,0.126589,0.126954,0.123528,0.119677,0.122072,0.119493,0.125805,0.122111,0.125411,0.123091,0.126572,0.123724,0.126861,0.120375,0.121549,0.124660,0.125733,0.124009,0.121807,0.126321,0.120309,0.118745,0.124946,0.014148,0.118246,0.124793,0.127594,0.123794,0.120468,0.122514,0.119782,0.124532,0.120852,0.125146,0.122070,0.126416,0.123485,0.121328,0.120853,0.121379,0.125507,0.125870,0.122875,0.122039,0.125623,0.119791,0.122424,0.124930,0.000000,0.124595,0.126636,0.122707,0.119897,0.121179,0.119320,0.123660,0.120147,0.124964,0.122828,0.126777,0.124790,0.123779,0.117737,0.121502,0.125715,0.126131,0.121989,0.121480,0.124261,0.119060,0.122175,0.123788,0.013340,0.124908,0.124417,0.123820
HAP3_chr23,0.124690,0.125681,0.123445,0.128010,0.125194,0.126584,0.127682,0.128749,0.125515,0.127980,0.123872,0.124943,0.128340,0.127808,0.126425,0.125949,0.128106,0.124228,0.121896,0.126667,0.124733,0.121672,0.012870,0.129233,0.126537,0.124091,0.126077,0.124306,0.128327,0.125516,0.128176,0.127496,0.128406,0.126576,0.128399,0.123184,0.125106,0.127700,0.129031,0.127148,0.126373,0.128397,0.124481,0.121463,0.128036,0.124144,0.121732,0.012030,0.129982,0.126281,0.124654,0.125815,0.124308,0.129045,0.125378,0.127908,0.125418,0.128632,0.126641,0.126981,0.123933,0.125849,0.128751,0.129471,0.125300,0.126144,0.129168,0.123060,0.125937,0.125619,0.124595,0.000000,0.129636,0.126149,0.124174,0.125077,0.123805,0.127002,0.125784,0.127375,0.126424,0.128785,0.126748,0.126170,0.121932,0.124856,0.128818,0.128730,0.124963,0.126092,0.127945,0.123067,0.125934,0.126019,0.125227,0.011963,0.127245,0.125925
HAP3_chr24,0.128273,0.127914,0.128498,0.129737,0.128674,0.129983,0.130776,0.131290,0.128227,0.129973,0.125739,0.127487,0.131746,0.131440,0.127839,0.128914,0.131161,0.127124,0.125581,0.129918,0.126795,0.125777,0.130969,0.011998,0.129292,0.127659,0.128000,0.129101,0.130008,0.128349,0.130313,0.130112,0.131696,0.129417,0.131881,0.126133,0.127595,0.130335,0.130907,0.128467,0.128670,0.131233,0.127184,0.125844,0.130907,0.126439,0.125165,0.130020,0.013073,0.129018,0.128421,0.128994,0.128800,0.131208,0.128538,0.130297,0.129389,0.130905,0.129268,0.129866,0.125410,0.128069,0.131944,0.132180,0.128664,0.129198,0.131825,0.127245,0.130219,0.130266,0.126636,0.129636,0.000000,0.128860,0.128080,0.128565,0.128790,0.128845,0.129036,0.130060,0.130097,0.132048,0.129472,0.129580,0.124214,0.128350,0.131097,0.131865,0.127718,0.128272,0.130794,0.125079,0.129561,0.129126,0.128472,0.130128,0.014054,0.128935
HAP3_chr25,0.123591,0.123606,0.115680,0.124280,0.123306,0.126133,0.126225,0.126759,0.125127,0.124988,0.122872,0.123505,0.127620,0.127003,0.124737,0.124902,0.127307,0.122930,0.121255,0.125656,0.123178,0.117897,0.128182,0.129577,0.014470,0.121973,0.123592,0.115836,0.126161,0.123729,0.126820,0.125797,0.127688,0.124641,0.127073,0.121767,0.121769,0.123639,0.123665,0.124919,0.125222,0.127997,0.122590,0.120467,0.126166,0.121430,0.117518,0.126463,0.128941,0.014095,0.122231,0.122960,0.116331,0.126587,0.123173,0.126624,0.124339,0.126222,0.124376,0.122223,0.121977,0.123315,0.127868,0.126964,0.123819,0.124877,0.127935,0.121435,0.124394,0.125755,0.122707,0.126149,0.128860,0.000000,0.122554,0.122947,0.116741,0.124787,0.122587,0.126388,0.125086,0.127274,0.126070,0.121568,0.120392,0.123102,0.123939,0.126292,0.123247,0.124946,0.126367,0.121170,0.123182,0.124540,0.123620,0.127040,0.126732,0.015338
HAP4_chr01,0.013343,0.120120,0.113400,0.125436,0.118077,0.123272,0.119008,0.127575,0.121077,0.125210,0.119288,0.120584,0.126159,0.125218,0.122991,0.120315,0.125476,0.118829,0.117149,0.123147,0.120019,0.116120,0.127466,0.128384,0.124589,0.013593,0.120945,0.113117,0.127183,0.118042,0.124090,0.115890,0.126207,0.122228,0.126893,0.119537,0.120629,0.123903,0.125974,0.122683,0.120406,0.126286,0.117894,0.116332,0.124438,0.121015,0.115724,0.124204,0.128889,0.123676,0.014489,0.120242,0.112656,0.125920,0.114947,0.124046,0.117681,0.125823,0.121896,0.123114,0.119652,0.120518,0.125859,0.125054,0.122129,0.119684,0.126217,0.116797,0.115998,0.123846,0.119897,0.124174,0.128080,0.122554,0.000000,0.119450,0.112921,0.124027,0.117317,0.122880,0.114500,0.126426,0.122043,0.122276,0.116835,0.120674,0.124484,0.125375,0.119839,0.119681,0.124480,0.116759,0.115183,0.122260,0.120348,0.124968,0.125971,0.123007
HAP4_chr02,0.120287,0.012786,0.117157,0.125547,0.119379,0.123535,0.123977,0.127373,0.121500,0.125255,0.121112,0.121428,0.126250,0.126089,0.124059,0.121007,0.126093,0.120032,0.118031,0.124681,0.121752,0.119180,0.127833,0.128534,0.124857,0.118445,0.012238,0.116294,0.126951,0.119620,0.124431,0.121829,0.127087,0.122752,0.126832,0.120268,0.121586,0.124704,0.125927,0.124283,0.121746,0.126949,0.119280,0.117324,0.125576,0.121566,0.117089,0.125730,0.128109,0.123689,0.119407,0.012586,0.116335,0.126677,0.119171,0.124736,0.119769,0.125881,0.122119,0.124034,0.120991,0.121951,0.127119,0.125652,0.122734,0.119987,0.126936,0.118302,0.119103,0.125626,0.121179,0.125077,0.128565,0.122947,0.119450,0.000000,0.116340,0.124321,0.119597,0.123478,0.120581,0.126359,0.123476,0.123783,0.117636,0.121455,0.125971,0.124528,0.122485,0.120613,0.124516,0.117736,0.118669,0.124115,0.121974,0.125852,0.125689,0.124091
